iter	Passed	Remaining
145	428	2505
146	429	2491
147	430	2479
148	431	2466
149	433	2455
150	434	2442
151	435	2429
152	439	2435
153	441	2426
154	444	2421
155	445	2412
156	446	2399
157	448	2388
158	449	2378
159	451	2368
160	451	2354
161	454	2351
162	456	2342
163	457	2332
164	459	2323
165	460	2314
166	461	2302
167	466	2307
168	467	2297
169	468	2288
170	473	2293
171	474	2283
172	475	2272
173	476	2263
174	481	2271
175	483	2262
176	486	2261
177	487	2253
178	488	2242
179	490	2233
180	492	2226
181	493	2216
182	495	2210
183	497	2207
184	499	2198
185	499	2187
186	500	2177
187	502	2169
188	503	2159
189	504	2149
190	514	2179
191	516	2173
192	517	2163
193	518	2154
194	526	2171
195	528	2169
196	530	2163
197	531	2153
198	532	2143
199	533	2134
200	535	2126
201	536	2119
202	541	2125
203	543	2118
204	544	2110
205	545	2101
206	546	2094
207	549	2090
208	550	2082
209	555	2089
210	558	2087
211	560	2083
212	561	2074
213	562	2066
214	563	2058
215	564	2049
216	565	2041
217	571	2051
218	574	2050
219	577	2047
220	578	2040
221	580	2033
222	581	2025
223	584	2024
224	587	2024
225	589	2019
226	595	2028
227	601	2037
228	604	2036
229	606	2030
230	608	2026
231	614	2034
232	617	2033
233	618	2025
234	619	2017
235	631	2044
236	633	2039
237	634	2032
238	638	2033
239	644	2040
240	645	2033
241	647	2026
242	648	2020
243	649	2013
244	654	2017
245	658	2019
246	659	2011
247	661	2004
248	662	1996
249	663	1989
250	668	1994
251	671	1992
252	672	1985
253	674	1979
254	675	1972
255	676	1965
256	677	1959
257	679	1953
258	685	1962
259	688	1958
260	689	1951
261	690	1943
262	691	1937
263	692	1931
264	693	1924
265	694	1916
266	697	1914
267	700	1913
268	702	1909
269	703	1903
270	704	1896
271	705	1889
272	706	1882
273	707	1875
274	708	1868
275	710	1863
276	719	1878
277	721	1873
278	724	1872
279	732	1883
280	734	1880
281	736	1874
282	738	1869
283	739	1864
284	741	1859
285	742	1853
286	743	1847
287	744	1841
288	746	1835
289	746	1828
290	747	1822
291	760	1843
292	761	1838
293	762	1832
294	765	1828
295	772	1836
296	775	1835
297	776	1829
298	778	1825
299	788	1839
300	791	1838
301	793	1833
302	794	1827
303	795	1822
304	804	1832
305	805	1827
306	807	1822
307	808	1817
308	810	1811
309	811	1806
310	812	1800
311	816	1799
312	817	1794
313	818	1789
314	820	1783
315	821	1778
316	827	1782
317	829	1778
318	831	1774
319	833	1770
320	834	1764
321	835	1758
322	836	1752
323	837	1748
324	842	1749
325	845	1747
326	846	1741
327	846	1735
328	847	1729
329	848	1722
330	849	1716
331	850	1711
332	851	1705
333	852	1699
334	853	1693
335	855	1691
336	857	1686
337	858	1681
338	859	1676
339	860	1670
340	861	1665
341	862	1660
342	864	1655
343	865	1649
344	865	1643
345	866	1637
346	867	1632
347	875	1639
348	876	1634
349	877	1629
350	878	1624
351	879	1618
352	880	1613
353	882	1610
354	886	1610
355	890	1611
356	892	1607
357	893	1602
358	895	1598
359	897	1596
360	908	1608
361	911	1607
362	913	1602
363	914	1597
364	915	1593
365	919	1593
366	920	1588
367	922	1583
368	924	1580
369	926	1576
370	933	1581
371	934	1576
372	935	1571
373	936	1566
374	936	1561
375	938	1556
376	939	1552
377	940	1547
378	943	1545
379	945	1543
380	946	1538
381	948	1533
382	949	1528
383	950	1524
384	953	1523
385	957	1523
386	959	1519
387	960	1514
388	961	1510
389	962	1505
390	963	1501
391	965	1496
392	975	1506
393	988	1519
394	989	1515
395	990	1510
396	991	1505
397	994	1504
398	999	1505
399	1001	1502
400	1002	1498
401	1004	1493
402	1005	1489
403	1006	1484
404	1007	1479
405	1015	1485
406	1017	1483
407	1018	1478
408	1020	1474
409	1028	1479
410	1032	1480
411	1034	1476
412	1035	1472
413	1041	1474
414	1044	1471
415	1045	1468
416	1047	1464
417	1048	1460
418	1049	1455
419	1051	1452
420	1060	1459
421	1062	1454
422	1063	1451
423	1065	1447
424	1066	1443
425	1077	1452
426	1081	1451
427	1082	1447
428	1092	1453
429	1093	1449
430	1095	1446
431	1097	1443
432	1099	1439
433	1100	1435
434	1109	1440
435	1110	1436
436	1112	1432
437	1113	1429
438	1115	1425
439	1119	1425
440	1122	1422
441	1124	1419
442	1125	1415
443	1127	1411
444	1128	1407
445	1130	1403
446	1134	1403
447	1138	1403
